uid,query,,,,
931214376239105 ,157.42.47.9,, ,,
931222872457217 ,27.60.217.113, ,,,
931232836714498 ,157.48.91.141, ,,,
931327321636866 ,157.32.97.143, ,,,
931353583124482 ,106.76.73.162, ,,,
931369435561985 ,223.189.71.233,,,,
931373388529665 ,157.51.120.150,,,,
931385766248450 ,47.11.155.160, ,,,
931650460778498 ,157.37.140.17, ,,,
931837694607362 ,223.182.11.22, ,,,
931840268926978 ,157.33.196.152,,,,
931866716536834 ,223.231.99.111,,,,
931881936879618 ,47.29.71.33,, ,,
931905133379586 ,27.59.199.144, ,,,
931977515827202 ,27.56.219.50,,,,
932059442282498 ,157.37.243.160,,,,
932089654247426 ,47.29.28.90,, ,,
932187957198850 ,106.206.94.51, ,,,
932188162916354 ,47.247.117.48, ,,,
932279795449858 ,47.29.112.121, ,,,
932339528859650 ,45.114.233.152,,,,
932349754277890 ,47.8.60.157,, ,,
932357323915266 ,47.11.198.242, ,,,
932460699779074 ,49.34.82.145,,,,
932507695349762 ,27.97.64.181,,,,
932529327996930 ,47.30.39.233,,,,
932587400298498 ,49.34.159.96,,,,
932616608514050 ,157.32.49.84,,,,
932673602420738 ,49.34.119.208, ,,,
932772251893762 ,157.32.73.87,,,,
932914638618626 ,106.203.21.34, ,,,
933007777988610 ,47.247.225.4,,,,
933052231680002 ,47.247.111.11, ,,,
933157190860802 ,27.56.217.59,,,,
933305223380994 ,157.34.44.177, ,,,
933379356262402 ,157.36.255.181,,,,
933387122180098 ,1.187.246.20,,,,
933526313336834 ,157.32.22.196, ,,,
933547736170498 ,112.79.134.9,,,,
933642479730690 ,157.36.255.181,,,,
933697279459330 ,106.207.135.15,,,,
933746075140098 ,37.39.249.217, ,,,
933771691819010 ,202.142.108.41,,,,
933859846324226 ,223.185.155.178 ,,,,
934017803878402 ,223.228.37.145,,,,
934177459568643 ,106.206.55.244,,,,
934194166562819 ,47.29.33.151,,,,
934335123062786 ,27.97.64.35,, ,,
934377438969857 ,27.97.32.91,, ,,
934378456678403 ,157.39.196.15, ,,,
934467182198785 ,49.34.81.229,,,,
934471077429249 ,157.44.75.38,,,,
934472637415425 ,27.59.129.120, ,,,
934504720629761 ,27.61.230.77,,,,
934565533384705 ,47.11.241.16,,,,
934589541089283 ,42.108.50.17,,,,
934623245402114 ,49.35.113.62,,,,
934667636801538 ,223.225.69.198,,,,
934761092972546 ,47.9.136.224,,,,
934767199649794 ,157.35.248.224,,,,
934853531140098 ,106.193.149.22,,,,
934926817591297 ,139.167.182.3, ,,,
934978249490433 ,112.79.151.131,,,,
935128263294977 ,106.77.13.229, ,,,
935204843028481 ,188.71.250.25, ,,,
935210189422593 ,139.167.163.17,,,,
935244990578689 ,106.207.115.204 ,,,,
935397345165313 ,49.202.69.83,,,,
